n_particles,n_repeats,mean_log_evidence,sd_log_evidence,var_log_evidence
500,12,-83.00768669533596,0.32145933741033716,0.103336105608293
2000,12,-82.95045161307722,0.1502206196937609,0.022566234581177548
10000,12,-83.0046251492604,0.06933513395282681,0.004807360800256437
