day,date,rac_marginalised,mean_infectivity_marginalised,rac_plain,mean_infectivity_plain,rac_marginalised_reseeded,mean_infectivity_marginalised_reseeded,latent_was_rebuilt
0,2018-04-05,0.9847195397943223,6.05287452718587,0.9823907132981686,6.083188991774954,0.9831440443019926,6.047943727080977,False
1,2018-04-06,0.984570183159122,0.0,0.9822344581204413,0.0,0.9829862722531765,0.0,False
2,2018-04-07,0.9842078742455419,0.0,0.9818557504581215,0.0,0.9826037600874512,0.0,False
3,2018-04-08,0.9977572255168986,1.064284864515718,0.9978626851417228,1.1267188669633657,0.9976887330533194,1.1452261487259605,False
4,2018-04-09,0.9974973210283485,0.0,0.9976102845545737,0.0,0.9974310824916883,0.0,False
5,2018-04-10,0.9971189842371491,0.0,0.9972432949334389,0.0,0.997056334462202,0.0,False
6,2018-04-11,0.9965881264307564,0.0,0.9967285772442721,0.0,0.9965311702763752,0.0,False
7,2018-04-12,0.999312770779783,1.7929564731248258,0.9991496612072749,1.811313194589327,0.9993053500782454,1.7919723880577445,False
8,2018-04-13,0.9995538389250211,0.6429162633341308,0.9995505008606813,0.6672621821772329,0.9995883647091636,0.6411753568286476,False
9,2018-04-14,0.9993994046681522,0.0,0.9993962862028318,0.0,0.9994416963009776,0.0,False
10,2018-04-15,0.999172518402683,0.0,0.999169656483524,0.0,0.9992251694919544,0.0,False
11,2018-04-16,0.9988384347844818,0.0,0.9988357711525563,0.0,0.9989050632095064,0.0,False
12,2018-04-17,0.9983469485688643,0.0,0.998344395361544,0.0,0.9984326576646934,0.0,False
13,2018-04-18,0.998707969217814,0.8660812199971187,0.9987093346072741,0.8606928222910754,0.998679152770709,0.853628514204821,False
14,2018-04-19,0.9989498456880054,0.9203695467415441,0.998878946217893,0.8846894530077404,0.9989459852432626,0.9056769880470016,False
15,2018-04-20,0.9991002140621562,0.9303240438335174,0.9990357387351451,1.0021624773554063,0.9990854334916197,0.8773266423866405,False
16,2018-04-21,0.9992907587265044,1.0558487021522087,0.9992222538312726,1.1258767229997875,0.9992551969312953,1.0757673642859857,False
17,2018-04-22,0.9989275457112585,0.0,0.998838701973784,0.0,0.9988769856957811,0.0,False
18,2018-04-23,0.9991099983268413,1.4094237990147993,0.999155626123305,1.4757672133187214,0.9990613981009178,1.3553972404269135,False
19,2018-04-24,0.9993831062682471,1.8156172004562041,0.9994131091753732,1.7358890241848313,0.9992881891298189,1.7588674139012872,False
20,2018-04-25,0.9996371433423613,2.1821604126291034,0.9996470205983177,2.2778770562105057,0.9996353590575133,2.3632420642972485,False
21,2018-04-26,0.9994629890005251,0.0,0.9994738112898975,0.0,0.9994560244115172,0.0,False
22,2018-04-27,0.9999145363006039,4.221175800196674,0.9999302766118119,4.081820701985916,0.999920587654546,4.052075779653618,False
23,2018-04-28,0.9998730875499984,0.0,0.9998908907737127,0.0,0.9998743297946671,0.0,False
24,2018-04-29,0.9998112340794071,0.0,0.9998299690664567,0.0,0.9998035246360847,0.0,False
25,2018-04-30,0.9997192331154506,0.0,0.9997367028798736,0.0,0.9996966284905764,0.0,False
26,2018-05-01,0.9999963245317206,6.406675621482869,0.9999964193953665,6.637013810962621,0.9999924699889177,6.562193393085153,False
