day,date,simulated_here,dlo_analytic,dlo_simulated,sse_analytic,sse_simulated,cori_analytic,cori_simulated,ssi_mcmc_smoothed,ssi_particle_smoothed,ssi_particle_filtering,ssi_mcmc_standard_error
0,2018-04-05,1.0,0.7824308077305657,0.78515,0.34875737093968684,0.34775,0.8296670111745905,0.82715,0.9823493271912396,0.9855642918305838,0.34828104748999367,0.0016809160605486544
1,2018-04-06,0.0,0.7802566069574896,,0.3471421632633267,,0.8279167102636468,,0.9821903731828852,0.9854086217033473,0.347665182867094,0.0016876351052537203
2,2018-04-07,0.0,0.7752290461117555,,0.34331798028214433,,0.8237183554351748,,0.9818053375143891,0.9850317430360744,0.346197921874005,0.0017037014139084886
3,2018-04-08,0.0,0.930549377431784,,0.568163923149346,,0.9687445157796299,,0.997965983455612,0.9983995162045118,0.9412945447184027,0.00019300618059255744
4,2018-04-09,0.0,0.9265812578980903,,0.5612988683872144,,0.9666422961605274,,0.9977266048921756,0.9981860143835778,0.9392612436852805,0.0002058611132418191
5,2018-04-10,0.0,0.920948847893713,,0.5514746649228763,,0.963449654737601,,0.9973771604096379,0.9978742519517348,0.9365135306563893,0.00022421993501872168
6,2018-04-11,0.0,0.9134863109368978,,0.5385648247005572,,0.9589084379009313,,0.9968851821617846,0.9974344921114511,0.932999422900627,0.00024915100872758335
7,2018-04-12,0.0,0.9938934624355942,,0.8681897716911688,,0.9997666834079798,,0.9993808554266423,0.9996406459346302,0.9797619955610615,2.685576852403133e-05
8,2018-04-13,0.0,0.9966163527133883,,0.9101944898153902,,0.9999521170300442,,0.9996471787104649,0.9997461885017737,0.9997108682120476,2.6528051949576484e-05
9,2018-04-14,0.0,0.9960419371465502,,0.9045835130581399,,0.9999385094962099,,0.9995179589497882,0.9996442026946467,0.9996233588133248,3.3466653343825785e-05
10,2018-04-15,1.0,0.9952440570961328,0.99555,0.8969087099294086,0.89655,0.9999153801024642,0.99995,0.9993251241278093,0.9994886260094846,0.9994991700485114,4.277204817890058e-05
11,2018-04-16,0.0,0.9941609421903642,,0.8868908954355893,,0.9998759223054031,,0.9990371001251652,0.9992509695749386,0.999322583566386,5.499603819646583e-05
12,2018-04-17,0.0,0.9927167526257129,,0.8743339785402559,,0.9998084042892705,,0.9986079617707595,0.9988889499436402,0.9938972362406404,7.069132471410012e-05
13,2018-04-18,0.0,0.9957051450897952,,0.9082254372007146,,0.9999476332527955,,0.9989055503522072,0.999123019119809,0.9948254945333789,4.6175825781645806e-05
14,2018-04-19,0.0,0.9972994451368383,,0.9323980909721767,,0.9999851704330761,,0.9989892887632547,0.9991389645547031,0.9955437499404082,5.0867818882589354e-05
15,2018-04-20,0.0,0.9982087691878516,,0.94975167270006,,0.9999956408243378,,0.999117116434852,0.9992654437303815,0.9962177915184633,8.341501656794317e-05
16,2018-04-21,0.0,0.9987558510967581,,0.9622607276180937,,0.9999986625103232,,0.9992875739062999,0.9994141493555544,0.9967896344148413,5.138288774530737e-05
17,2018-04-22,0.0,0.9983663450883139,,0.9559581240494884,,0.9999974700951048,,0.9989282707648159,0.9991017436164045,0.9957442544587636,6.888879696556544e-05
18,2018-04-23,0.0,0.9988373007044107,,0.9661688312252132,,0.9999991481751888,,0.9991497803448515,0.9993674131813198,0.9962723620426885,6.057369190522044e-05
19,2018-04-24,0.0,0.9991414868929486,,0.9737294531226017,,0.9999997000854597,,0.9994070857515565,0.999439904856895,0.9968221897696444,3.9935941982042725e-05
20,2018-04-25,1.0,0.9993454140199146,0.99915,0.9793742301276072,0.9798,0.9999998894880655,1.0,0.9996675644321298,0.9995115725797179,0.9972011673355563,1.9974661736084764e-05
21,2018-04-26,0.0,0.9991087060204831,,0.9748404262046403,,0.9999997490719992,,0.999499022706849,0.9992600845083074,0.9963118249216382,2.7279207614439706e-05
22,2018-04-27,0.0,0.9993137324758531,,0.9798139045175746,,0.9999998988913157,,0.9999296173026928,0.9998874031748828,0.9968083220563778,1.1141212646333504e-05
23,2018-04-28,0.0,0.9990524600799591,,0.9748919526395575,,0.9999997511861192,,0.999889659157557,0.9998294620433307,0.9958197838237127,1.5906760427122122e-05
24,2018-04-29,0.0,0.9986855869599902,,0.9685540112266872,,0.9999993700475297,,0.9998284224263702,0.9997457098795173,0.9945412489002179,2.2557452304624565e-05
25,2018-04-30,0.0,0.998171894503311,,0.96046112619054,,0.9999983789934271,,0.9997356936478893,0.9996261912131789,0.9899217762284657,3.17158422836103e-05
26,2018-05-01,0.0,0.9992563437325702,,0.9789042592025491,,0.9999998787194337,,0.9999981523267814,0.9999973112879162,0.9941941442516194,2.2079345249261267e-07
27,2018-05-02,0.0,0.9989638011828217,,0.9734004712087403,,0.9999996842787808,,0.9999963539872778,0.9999943887660303,0.9921332104003123,4.168967586003076e-07
