method,day,divergences,max_r_hat,min_ess_bulk,seconds,n_sampled_variables
refit_daily,1,0,1.0002010415952751,5689.635608142268,11.889818191062659,3
refit_daily,2,0,1.0007219346565144,5597.993907002401,11.829155764076859,3
refit_daily,3,0,1.001180021546275,3885.0104976587822,20.795966782607138,5
refit_daily,4,0,1.0009170556146483,3649.6378467578243,19.15710599394515,5
refit_daily,5,0,1.00096847492793,3639.5651896386717,19.739280400797725,5
refit_daily,6,0,1.0016812528301056,3309.310987120736,19.159112486056983,5
refit_daily,7,0,1.0014495488460688,2986.508947677074,28.145940134767443,5
refit_daily,8,0,1.0018267868469348,3244.2522708410343,32.17879976006225,5
refit_daily,9,0,1.0010342874479918,2814.0433343335103,33.239232811145484,5
refit_daily,10,0,1.0010781366094013,3123.8676869450287,34.21598741132766,5
refit_daily,11,0,1.0012144600665758,3456.9973753349223,34.47368376003578,5
refit_daily,12,0,1.0007683761189226,3585.156402163282,33.77225096616894,5
refit_daily,13,0,1.001730169408712,3215.9353285470115,37.82019335497171,5
refit_daily,14,0,1.0017894363602233,3586.642739281436,42.00945596722886,5
refit_daily,15,0,1.0020104688465092,3435.961701484364,44.86244847020134,5
refit_daily,16,0,1.0016611362467842,3140.376038069715,47.62524878513068,5
refit_daily,17,0,1.0016785487206161,3292.9643003387882,47.6394027560018,5
refit_daily,18,0,1.0018348645234736,3500.537549141694,50.17710856394842,5
refit_daily,19,0,1.0025256267916764,3633.9922529595597,52.58799692802131,5
refit_daily,20,0,1.0016604062721737,2916.4477303933336,53.471674896776676,5
refit_daily,21,0,1.0018593622767018,3196.3692887186617,53.94793063495308,5
refit_daily,22,0,1.0018200676901148,3369.0169995928973,55.446500989142805,5
refit_daily,23,3,1.0019323637115232,3130.412233558326,55.68331993697211,5
refit_daily,24,0,1.0013051389644192,2953.9954515994436,56.79681457998231,5
refit_daily,25,0,1.0014695659940833,2946.5593218283166,58.81910896161571,5
refit_daily,26,0,1.0011950411199908,3152.9700550427783,57.3594432817772,5
refit_daily,27,0,1.0014289123215105,2921.4159616062575,59.15774175990373,5
refit_daily,28,0,1.0018988771571171,2904.6236753947223,60.39965583290905,5
refit_daily,29,0,1.0028592603117312,1640.4685740611815,76.37162702390924,5
refit_daily,30,0,1.0011732770567634,1751.8840701946208,77.35808854969218,5
refit_daily,31,0,1.0014151845385204,2265.5344190318874,76.84399291314185,5
refit_daily,32,0,1.0024185436155524,2358.228384108246,73.79278091341257,5
refit_daily,33,0,1.0019376519115721,2300.309004620643,76.08533466095105,5
refit_daily,34,0,1.0020730803013513,2417.4760276450706,76.78405265277252,5
refit_daily,35,0,1.002571068747316,2286.715388058864,76.79491386888549,5
refit_daily,36,0,1.0028321199204489,2220.7058757784403,83.69761527702212,5
refit_daily,37,0,1.0013971589975417,1994.1092086398469,85.53413312137127,5
refit_daily,38,0,1.00193599528963,2210.806069717701,89.29276817804202,5
refit_daily,39,0,1.0015253037290968,2101.3217864013077,84.28889517998323,5
refit_daily,40,0,1.0022653360785423,1927.4636844807965,90.36070970073342,5
refit_daily,41,0,1.0018939082758176,2161.5676504319817,86.56096721021459,5
refit_daily,42,0,1.0018674973662605,1976.4334997037292,94.68946461891755,5
refit_daily,43,0,1.0036171366955187,2034.5762386131119,94.9496084228158,5
refit_daily,44,0,1.0034162833157783,1871.3427172113516,96.03446294507012,5
refit_daily,45,0,1.0020135942548611,2077.850898327434,105.44269686099142,5
refit_daily,46,0,1.0022253994065362,2163.1252839212416,107.48295002989471,5
refit_daily,47,0,1.002065340607751,1557.390157841955,99.81620200816542,5
refit_daily,48,0,1.0025600875816576,1839.135662225761,110.2347309673205,5
refit_daily,49,0,1.0029967297241718,1980.4732582338304,114.89267803775147,5
refit_daily,50,0,1.003770401794933,1683.812649014242,113.02830791287124,5
refit_daily,51,0,1.0023857576786113,1650.0676119588468,121.45774688571692,5
refit_daily,52,0,1.0027327166805189,1412.5669383315876,124.22584935091436,5
refit_daily,53,0,1.0042153106347946,1652.408735474751,128.32514454005286,5
refit_daily,54,0,1.0024652518928445,1796.6880414984842,130.4890405018814,5
refit_daily,55,0,1.0027195189083926,1265.7167681443134,131.20905023021623,5
refit_daily,56,0,1.0040823695354602,1308.9373247038232,133.09334566025063,5
refit_daily,57,0,1.0017179178810744,1138.8696826481578,134.0625875107944,5
refit_daily,58,0,1.0041602542253822,1467.3880789046618,136.87329554883763,5
refit_daily,59,0,1.0033904030065006,1383.484337221429,139.0262306286022,5
refit_daily,60,0,1.0019830111289987,1354.6275816608445,140.21379941375926,5
refit_daily,61,0,1.0024170919869795,1269.9631123460815,146.9358800346963,5
refit_daily,62,0,1.0023623521676426,1220.017175787167,144.1178920911625,5
refit_daily,63,0,1.0048514932091788,1302.981802216104,144.204895734787,5
refit_daily,64,0,1.0025455895602844,1148.358990607957,145.118244192563,5
refit_daily,65,0,1.0047306735230033,1115.8369207720946,144.52546289283782,5
refit_daily,66,0,1.0058776163296077,998.7014104470649,149.29252308793366,5
refit_daily,67,0,1.0024992931632504,1201.3911086898079,150.07200043229386,5
refit_daily,68,2,1.0019689793730662,1257.030564924521,146.57785239303485,5
refit_daily,69,0,1.0016757257963573,1032.1659174385275,149.9350635916926,5
refit_daily,70,0,1.002375342670182,1043.6788556634892,150.4100324679166,5
refit_daily,71,0,1.0025040261795002,1113.6796740274117,152.35243288008496,5
refit_daily,72,0,1.0029718591656356,1038.6415083766915,152.19917371403426,5
refit_daily,73,0,1.0031026280158812,1087.1179947845565,153.34730890020728,5
refit_daily,74,0,1.003972553150375,1098.6481364820024,154.18666390981525,5
refit_daily,75,0,1.0038096808092891,1070.1827581432497,155.57607173314318,5
refit_daily,76,0,1.0102400432279734,899.1230275551424,156.39297747798264,5
refit_daily,77,0,1.0023276419236058,1034.0678591786614,153.7456381013617,5
refit_daily,78,0,1.0021266215260505,944.0526555422467,156.50567989656702,5
refit_daily,79,0,1.0063633783625072,1067.045539284762,156.0420878631994,5
refit_daily,80,0,1.005419099694528,1002.8308396024381,156.7944698710926,5
refit_daily,81,0,1.0040003609222996,1075.7102190841365,156.16400606185198,5
refit_daily,82,0,1.001841476691146,960.2650637955671,161.47111505968496,5
refit_daily,83,0,1.004472336315436,899.2780705822325,159.25905111711472,5
refit_daily,84,0,1.0085733704033832,904.4587566805566,156.786344347056,5
refit_daily,85,0,1.0021096282656643,1118.0110842711417,158.7356007611379,5
refit_daily,86,0,1.0019661359469805,1122.9230690586553,157.44798855902627,5
refit_daily,87,0,1.0047641683189734,1000.9630035987403,160.9750508586876,5
refit_daily,88,0,1.0026341651583082,1070.5134360869772,160.12420693365857,5
refit_daily,89,1,1.0127538041265416,988.878630927264,161.12003375496715,5
refit_daily,90,0,1.00406237063747,890.6838878514809,159.34623368782923,5
refit_daily,91,0,1.0021164169607975,979.5252522635113,159.72002297407016,5
refit_daily,92,0,1.0031635003867063,1093.9169319250352,162.56546742422506,5
refit_daily,93,0,1.0069196361078236,958.2235306034194,160.30295414477587,5
refit_daily,94,1,1.0040907356598396,879.6952394054439,164.2016606363468,5
refit_daily,95,0,1.0030387029620045,921.9917052144274,163.7911969651468,5
refit_daily,96,0,1.002696274043844,1139.011432752995,165.74948245007545,5
refit_daily,97,0,1.0097091590409477,845.4983119401357,164.10701110213995,5
refit_daily,98,0,1.0046480721912727,987.8743551246696,160.41915351292118,5
refit_daily,99,0,1.0024060373697983,1126.8778669358735,162.7489260872826,5
refit_daily,100,0,1.0050111471427374,789.8998003737382,161.81787994783372,5
refit_daily,101,0,1.0030349009494557,1040.3113056496422,166.25541194481775,5
refit_daily,102,0,1.0039038093038082,991.5348262474312,165.956389144063,5
refit_daily,103,0,1.002361505260445,1025.3081691868865,168.55604967987165,5
refit_daily,104,0,1.0043279594983667,1080.8377664359768,168.24639598466456,5
refit_daily,105,0,1.0027634201761144,1174.0632036539923,169.0086709759198,5
refit_daily,106,0,1.0048333385110193,947.541741898824,167.81331765186042,5
refit_daily,107,0,1.004386633052157,1105.7373281062569,168.56799541413784,5
refit_daily,108,0,1.0098050749444685,913.6535275493744,165.0159623818472,5
refit_daily,109,0,1.003054712111374,1097.6488193119076,170.18255930114537,5
refit_daily,110,0,1.0054944832112016,945.0734413819729,0.1279469351284206,5
