method,day,divergences,max_r_hat,min_ess_bulk,seconds,n_sampled_variables
refit_daily,1,0,1.0010585842809914,7165.405957420474,9.313707303721458,3
refit_daily,2,0,1.0009172373245787,6748.3914958901405,9.210322519764304,3
refit_daily,3,0,1.00100807400583,7132.082502369589,11.020815007388592,3
refit_daily,4,0,1.0005143196809139,7349.135050150229,9.330875592771918,3
refit_daily,5,0,1.0004352751896242,6963.126126397622,9.467095493804663,3
refit_daily,6,0,1.000517625810039,7162.83290794828,9.389915399253368,3
refit_daily,7,0,1.0007276741460722,7466.53395611256,9.458889802917838,3
refit_daily,8,0,1.0008620827945214,7139.901217908962,7.507812805939466,3
refit_daily,9,0,1.0006106971581534,7145.354681749456,7.580258052796125,3
refit_daily,10,0,1.0017323492403063,6269.184370211948,7.284352014772594,3
refit_daily,11,0,1.000686276570211,7293.874408660111,9.350084180012345,3
refit_daily,12,0,1.0007133701562512,6622.864785777354,7.39008493674919,3
refit_daily,13,0,1.000703931285928,7029.730924173748,7.583313910290599,3
refit_daily,14,0,1.0018422193805088,6482.117730644273,7.888333473820239,3
refit_daily,15,0,1.0015626130138318,6656.92100699127,7.551036728080362,3
refit_daily,16,0,1.0006790264083214,7511.678440369367,7.633423999417573,3
refit_daily,17,0,1.0003357206072594,7281.605738186135,8.067521187011153,3
refit_daily,18,0,1.0007506202142296,7381.438098423931,7.6811394528485835,3
refit_daily,19,0,1.000681065305835,7294.585550174717,7.744533929973841,3
refit_daily,20,0,1.0012353559625224,6492.399098362531,8.064947881735861,3
refit_daily,21,0,1.0009530989573323,7088.424660383784,7.966353031806648,3
refit_daily,22,0,1.0009533977054108,7039.203572905911,7.97224293416366,3
refit_daily,23,0,1.000655830618469,6691.436408813846,8.011084267869592,3
refit_daily,24,0,1.001131017358207,7141.796430825387,8.253647721838206,3
refit_daily,25,0,1.002086622475488,7047.396416118197,8.230373973958194,3
refit_daily,26,0,1.001299292888283,7176.052523255939,8.530108705163002,3
refit_daily,27,0,1.0006942113391215,7296.7350128101125,8.114022586029023,3
refit_daily,28,0,1.0013807868006104,7386.994275489841,8.344378700014204,3
refit_daily,29,0,1.0010891464396587,6613.101526744542,8.25148765835911,3
refit_daily,30,0,1.0009746458601212,7458.805130926966,8.764162510167807,3
refit_daily,31,0,1.0013681959161354,6362.538682749396,8.648030180018395,3
refit_daily,32,0,1.000659762211807,6509.681492102387,9.003424287773669,3
refit_daily,33,0,1.0011074022303441,7282.969461732682,8.74737920705229,3
refit_daily,34,0,1.001060982396934,7271.686902622229,9.2322818627581,3
refit_daily,35,0,1.0006244368985806,6341.624370724326,9.216950803995132,3
refit_daily,36,0,1.000534691463418,7485.49478970335,9.01350916782394,3
refit_daily,37,0,1.0009790362896054,6024.240212305657,9.388423032592982,3
refit_daily,38,0,1.0015838423069077,6607.11940197477,9.236797625664622,3
refit_daily,39,0,1.0002407507390254,7070.318558426785,9.578855414874852,3
refit_daily,40,0,1.0002258980434489,6999.401748430837,9.39061490772292,3
refit_daily,41,0,1.0015980982287302,6665.502980858557,9.639187103137374,3
refit_daily,42,0,1.0011279514282185,6839.591346054584,9.311205799225718,3
refit_daily,43,0,1.0012590352073167,6128.528913380563,9.509222699329257,3
refit_daily,44,0,1.0001224294794533,6685.368637638543,9.70418517710641,3
refit_daily,45,0,1.0003034381778482,6788.709152247164,9.912126688286662,3
refit_daily,46,0,1.0011784730982682,7696.704172475981,10.20402410486713,3
refit_daily,47,0,1.0002674201125947,6840.960497655209,9.626210215035826,3
refit_daily,48,0,1.0013698251475736,7306.589225921351,9.827867378015071,3
refit_daily,49,0,1.0009260476877686,7129.513482443348,9.995581779628992,3
refit_daily,50,0,1.00170406614579,6948.129409978456,9.909049177076668,3
refit_daily,51,0,1.001286118906453,6842.155135278363,9.717462652828544,3
refit_daily,52,0,1.0017993034926744,7298.571987090143,9.88952379534021,3
refit_daily,53,0,1.0007265058232566,6601.854119359892,9.999227466993034,3
refit_daily,54,0,1.0006980754949077,6972.295810260062,10.599923852831125,3
refit_daily,55,0,1.0009216293880483,7095.329219572418,10.454439633060247,3
refit_daily,56,0,1.000980565115258,7087.351336338688,10.104821857064962,3
refit_daily,57,0,1.000895143490254,6471.457047759445,10.169481575954705,3
refit_daily,58,0,1.0007186944793005,7351.11356441075,10.474520930554718,3
refit_daily,59,0,1.0005151991541352,6656.477889089029,10.63947070389986,3
refit_daily,60,0,1.0017211431479773,6800.270524633617,10.739271083846688,3
refit_daily,61,0,1.0005507231285835,6670.881734229717,10.858471751678735,3
refit_daily,62,0,1.0009552753216762,6340.001398868138,10.491102465894073,3
refit_daily,63,0,1.000739135314028,7522.337284170469,10.677311128936708,3
refit_daily,64,0,1.0007797529628994,6623.466295787952,10.617216202896088,3
refit_daily,65,0,1.0005205675997448,6609.331534554392,10.785430639050901,3
refit_daily,66,0,1.0009376280302142,6691.81559309526,10.716810707002878,3
refit_daily,67,0,1.0010971245509572,7113.804710436153,10.71169077605009,3
refit_daily,68,0,1.0008562295592123,7367.923100374658,10.97689113020897,3
refit_daily,69,0,1.0003828515007314,6842.664286145549,10.897348409052938,3
refit_daily,70,0,1.0017058659304654,7437.615909619527,11.028976570349187,3
refit_daily,71,0,1.0007396333346021,7041.834300036748,10.919886996038258,3
refit_daily,72,0,1.000183124707126,6299.705242384979,10.945334441959858,3
refit_daily,73,0,1.0013962230756999,6017.14062759629,10.946573344990611,3
refit_daily,74,0,1.0003051665954503,5921.634370210962,11.42640036297962,3
refit_daily,75,0,1.0014867976307265,6755.690539475354,11.322554050013423,3
refit_daily,76,0,1.0018666761905015,7009.485354069762,11.486038011033088,3
refit_daily,77,0,1.0012916076924552,7267.39243001093,11.573397180065513,3
refit_daily,78,0,1.0010491782976438,6584.305359357601,11.689424742013216,3
refit_daily,79,0,1.001028450745903,6677.9327400876155,11.884195300750434,3
refit_daily,80,0,1.0020192174200009,6953.277790679099,11.773740699049085,3
refit_daily,81,0,1.0007720884830424,7317.873361593374,11.782375989947468,3
refit_daily,82,0,1.0003807901991706,6530.672896805716,11.440412169322371,3
refit_daily,83,0,1.000398710577343,6909.745890952382,11.819290518760681,3
refit_daily,84,0,1.0002438078494302,6612.771438909074,11.559895049780607,3
refit_daily,85,0,1.0016649812920402,6337.488481501247,11.709648800082505,3
refit_daily,86,0,1.0006906140951475,6854.649741517856,12.07892017904669,3
refit_daily,87,0,1.000445496407541,6672.076870429597,11.780094533227384,3
refit_daily,88,0,1.0013962196323383,6669.762500602459,11.932732096873224,3
refit_daily,89,0,1.0004736918205313,6791.286047428565,11.733936049044132,3
refit_daily,90,0,1.0015759384861445,7627.224739173646,12.275032879784703,3
refit_daily,91,0,1.0031218413711673,6937.004258861043,11.893008364830166,3
refit_daily,92,0,1.0024013853712297,7271.835108638771,12.566098278854042,3
refit_daily,93,0,1.0003475654013834,6446.394908895203,12.4554268498905,3
refit_daily,94,0,1.000684545821893,7438.601861920773,12.272488093934953,3
refit_daily,95,0,1.0011234093760302,6927.73359496341,12.57834563497454,3
refit_daily,96,0,1.000505209784651,6754.345667418821,12.207033426966518,3
refit_daily,97,0,1.0016076325684728,6650.766888630165,12.749885782133788,3
refit_daily,98,0,1.0007134608209138,6211.078755012802,12.159525175113231,3
refit_daily,99,0,1.0010152123859148,7296.987963640067,12.61550160171464,3
refit_daily,100,0,1.0008194367486927,6692.692197763348,12.42330482462421,3
refit_daily,101,0,1.0021749203354544,6442.856718569007,12.700274965260178,3
refit_daily,102,0,1.000824465365704,6814.7501150843655,13.159753809217364,3
refit_daily,103,0,1.001275750772216,6652.706938771969,12.536850091069937,3
refit_daily,104,0,1.0009100537554299,6702.864569733337,13.001791150309145,3
refit_daily,105,0,1.0009988022966438,6955.669276728389,12.592525444924831,3
refit_daily,106,0,1.0009883693960286,6969.176192298648,13.329249219037592,3
refit_daily,107,0,1.00049707258263,6967.945415042673,13.117438132874668,3
refit_daily,108,0,1.0010897245596089,6509.445991511598,13.194586846977472,3
refit_daily,109,0,1.0016376355937904,6664.726496637367,12.944337448105216,3
refit_daily,110,0,1.0007600880324117,6888.981791709169,0.10271456092596054,3
