date,day,model,risk_of_additional_cases,monte_carlo_standard_error,risk_of_additional_transmission,transmission_monte_carlo_standard_error,risk_of_sustained_transmission,sustained_transmission_monte_carlo_standard_error
2018-04-06,1,ssi_so,0.28272039001243376,0.0010976718245839096,0.25054459206337765,0.0009967963905718861,0.0763749895180349,0.0010571686388376022
2018-04-07,2,ssi_so,0.27300178870266156,0.0007721594655720795,0.22732361631159748,0.0008072168381520589,0.0700784386645289,0.0008837203377058785
2018-04-08,3,ssi_so,0.9146339061727935,0.0028998555573670998,0.8601130229994842,0.003921002507916768,0.4661750680374779,0.004556362165689612
2018-04-09,4,ssi_so,0.8959456919002389,0.0009446562646901586,0.8140926267876107,0.0012307109304640063,0.39610509327853527,0.0035968674018744488
2018-04-10,5,ssi_so,0.8628265147299028,0.0032740292604305212,0.7490495002259243,0.003281063067372131,0.32893291238935984,0.002288574899540285
2018-04-11,6,ssi_so,0.8335528441767109,0.0017860588381626295,0.6888806806704938,0.0017346373200482006,0.2850042275665685,0.002018458275154927
2018-04-12,7,ssi_so,0.9988511550085271,0.00010991876760752709,0.9905023863669143,0.0004309701508588905,0.7641047941282078,0.005623391881884503
2018-04-13,8,ssi_so,0.9995495362564633,5.573809366925751e-05,0.9932906788117066,0.00035457814638139245,0.7811813540749518,0.0024264660019903627
2018-04-14,9,ssi_so,0.9989204265365681,7.051032640189256e-05,0.9849530731930114,0.00022310488482052507,0.7025133299830792,0.0025381026634829352
2018-04-15,10,ssi_so,0.9973940191334807,9.210146175661792e-05,0.9685881725987947,0.0004886331876538281,0.6316920128928328,0.002519325560741939
2018-04-16,11,ssi_so,0.9950094648495326,4.355549620941385e-05,0.9432768702212161,0.0006065055281232547,0.5426978200873295,0.004077366726632988
2018-04-17,12,ssi_so,0.9902848548929349,0.00012605671489282738,0.9082726888037229,0.0006497136093634507,0.4692942453476032,0.006175070610548909
2018-04-18,13,ssi_so,0.994703510300038,0.00017925427298917895,0.9369553412201335,0.000315485819260548,0.52691359209299,0.005949086747541337
2018-04-19,14,ssi_so,0.9966622597044071,7.975270282090151e-05,0.9534750424079016,0.000675204948757881,0.5693951165911508,0.003290313034608545
2018-04-20,15,ssi_so,0.9978630491299698,4.61880172016998e-05,0.9627074862728312,0.00027044400185794094,0.5924088009278379,0.004733945784388876
2018-04-21,16,ssi_so,0.9984210311629675,4.773126521948631e-05,0.9702890894581027,0.0005556847989001857,0.6259623250044068,0.006501820792729679
2018-04-22,17,ssi_so,0.9965272456583759,8.942071915010349e-05,0.947673507493416,0.0010412272369098477,0.5489336341878616,0.008134676314294275
2018-04-23,18,ssi_so,0.9975190623099438,4.8045010402895306e-05,0.9585890977079357,0.0005191282320230039,0.5840632156493595,0.006297417279722558
2018-04-24,19,ssi_so,0.9981797023878967,9.31298005875141e-05,0.9681807443829599,0.001169154277332863,0.6206263576612612,0.007737065969332772
2018-04-25,20,ssi_so,0.9986786103316629,3.3583908671054165e-05,0.9741187159749015,0.000629660663068254,0.6415619872998946,0.005987890828083043
2018-04-26,21,ssi_so,0.9971458544438364,4.4192590606865083e-05,0.9557225372934123,0.00036101087439536383,0.5669392455362825,0.0022745910935855164
2018-04-27,22,ssi_so,0.9978245417286284,4.1529333556825025e-05,0.9637222222905315,0.0006629561014261804,0.5822710637437583,0.003583420093822188
2018-04-28,23,ssi_so,0.9950386464656424,8.804841710455259e-05,0.9352597901079255,0.0005377056647198402,0.5026942908310714,0.0034379160532747636
2018-04-29,24,ssi_so,0.9905575618526318,0.00037664795443713607,0.8985377211880194,0.0020033665756934915,0.4271274759675566,0.003315331666893857
2018-04-30,25,ssi_so,0.9835168963533426,0.0003832207977492025,0.8552994952667714,0.001763460583347511,0.37210795835921673,0.0029349987088590312
2018-05-01,26,ssi_so,0.9956010300354278,0.00015468002439628746,0.948215391216894,0.0010887277739068317,0.5252512661409106,0.0031292205163220865
2018-05-02,27,ssi_so,0.9913624820174396,0.00016229791696067622,0.9158228602641244,0.0007679413935479612,0.45370409248960064,0.0049392846742586476
2018-05-03,28,ssi_so,0.9980136722978294,0.00013292674162298325,0.9723480426588109,0.0010654157671884754,0.5997093999241465,0.007309090217598615
2018-05-04,29,ssi_so,0.9999979537889295,5.908410727927429e-07,0.9997756914282612,1.8527298648275778e-05,0.926594666322551,0.004940363398275471
2018-05-05,30,ssi_so,0.999999371662602,1.684928884260083e-07,0.9998674340953759,1.2587210451265676e-05,0.9317289777721098,0.0014939041137862132
2018-05-06,31,ssi_so,0.9999992766048436,1.2610703781623417e-07,0.9997618162694399,1.994774209312608e-05,0.9073726582525464,0.003312742149437488
2018-05-07,32,ssi_so,0.9999950764954034,2.2338943956238516e-06,0.9995852328402751,2.344984543454878e-05,0.8807560265345712,0.005944790831775772
2018-05-08,33,ssi_so,0.9999964105201199,7.609097291377763e-07,0.9993082411840852,4.521645218051421e-05,0.8535998334285443,0.005977632046587013
2018-05-09,34,ssi_so,0.9999860606869386,3.7412787866602766e-06,0.9976413301372017,0.00018070556092393526,0.7692729836642332,0.0029785988014164
