distribution,lag,probability
incubation,73,6.5734480792732715e-06
incubation,74,5.599258312110207e-06
incubation,75,4.768589256709769e-06
incubation,76,4.06044412019481e-06
incubation,77,3.456872422265717e-06
incubation,78,2.942532464927284e-06
incubation,79,2.5043158615573715e-06
incubation,80,2.131025461689474e-06
incubation,81,1.8130991923472722e-06
incubation,82,1.5423733638709247e-06
incubation,83,1.3118798779648839e-06
incubation,84,1.1156725458370286e-06
incubation,85,9.486783903116959e-07
incubation,86,8.065703813013333e-07
incubation,87,6.856585509362825e-07
incubation,88,5.827968634030199e-07
incubation,89,4.953035842266155e-07
incubation,90,4.208932122841354e-07
incubation,91,3.576183121564467e-07
incubation,92,3.038198205195147e-07
incubation,93,2.580846033565788e-07
incubation,94,2.192092153629844e-07
incubation,95,1.8616896293651422e-07
incubation,96,1.580915009927467e-07
incubation,97,1.3423430445445173e-07
incubation,98,1.1396545017538404e-07
incubation,99,9.67472264652267e-08
incubation,100,8.21221571768962e-08
incubation,101,6.97010871327611e-08
incubation,102,5.915302690995887e-08
incubation,103,5.019649888930893e-08
incubation,104,4.25921640410572e-08
incubation,105,3.61365410719059e-08
incubation,106,3.065665706375627e-08
incubation,107,2.6005492259091277e-08
incubation,108,2.2058101761178568e-08
incubation,109,1.870831410891047e-08
incubation,110,1.0412973041572408e-07
tost,0,0.17749149904659273
tost,1,0.20605706315171907
tost,2,0.13584143019709288
tost,3,0.10035017130079647
tost,4,0.07682770873229393
tost,5,0.05992477958137907
tost,6,0.0472831498133742
tost,7,0.03760337657370945
tost,8,0.03007698162154246
tost,9,0.02416199513248895
tost,10,0.019476840200175226
tost,11,0.01574362274939553
tost,12,0.012754998187396737
tost,13,0.010353470768350321
tost,14,0.008417778171763916
tost,15,0.0068535710133488005
tost,16,0.005586828877365015
tost,17,0.004559092092743406
tost,18,0.0037239389648423145
tost,19,0.0030443409276830406
tost,20,0.0024906506385434938
tost,21,0.0020390549914500095
tost,22,0.0016703749728439804
tost,23,0.0013691276491939628
tost,24,0.001122788434667805
tost,25,0.0009212077940503635
tost,26,0.0007561479619396725
tost,27,0.0006209135521077767
tost,28,0.0005100560378571757
tost,29,0.0004191366386402514
tost,30,0.0003445355824384952
tost,31,0.00028329832794230317
tost,32,0.0002330113378406473
tost,33,0.00019170154692132197
tost,34,0.0001577548770227113
tost,35,0.0001298500967444701
tost,36,0.00010690506792204918
tost,37,8.803300881448408e-05
tost,38,7.25068703246516e-05
tost,39,5.9730292783760566e-05
tost,40,4.921390721174532e-05
tost,41,4.0555982247764144e-05
tost,42,3.3426608381087724e-05
tost,43,2.755476428854694e-05
tost,44,2.271773353554503e-05
tost,45,1.8732439570416483e-05
tost,46,1.5448347547362636e-05
tost,47,1.27416467950699e-05
tost,48,1.0510480690537829e-05
tost,49,8.671033685616536e-06
tost,50,7.154320178089478e-06
tost,51,5.9035483541154575e-06
tost,52,4.871955288874483e-06
tost,53,4.021028472313083e-06
tost,54,3.3190443302597244e-06
tost,55,2.7398668874312178e-06
tost,56,2.2619599939349454e-06
tost,57,1.8675749372172239e-06
tost,58,1.542082133154899e-06
tost,59,1.2734212144076482e-06
tost,60,1.0516484400329197e-06
tost,61,8.685641239871316e-07
tost,62,7.174058732825534e-07
tost,63,5.925959630230316e-07
tost,64,4.895332563249165e-07
tost,65,4.0442178474376013e-07
tost,66,3.3412950669265785e-07
tost,67,2.760719125829278e-07
tost,68,2.2811609114506383e-07
tost,69,1.8850164851761164e-07
tost,70,1.5577551046027252e-07
tost,71,1.2873816322948053e-07
tost,72,1.0639932055761174e-07
tost,73,8.794135945400321e-08
tost,74,7.26891598585964e-08
tost,75,6.008522373866945e-08
tost,76,4.966914722960408e-08
tost,77,4.1060682440160496e-08
tost,78,3.3945759780034234e-08
tost,79,2.806495222420752e-08
tost,80,2.3203953997966855e-08
tost,81,1.9185721195790863e-08
tost,82,1.5863983671534087e-08
tost,83,1.3117888488260164e-08
tost,84,1.0847577212155756e-08
tost,85,8.970533954873694e-09
tost,86,7.418569611781646e-09
tost,87,6.135331279616165e-09
tost,88,5.07424524672681e-09
tost,89,4.196817957780948e-09
tost,90,3.4712325599336217e-09
tost,91,2.8711895312321013e-09
tost,92,2.3749488799527e-09
tost,93,1.964538819843544e-09
tost,94,1.6251019463024174e-09
tost,95,1.3443549893928282e-09
tost,96,1.112142388467939e-09
tost,97,9.200673743599484e-10
tost,98,7.611870858651428e-10
tost,99,6.297605925688971e-10
tost,100,5.210406324805761e-10
tost,101,4.3110147189815485e-10
tost,102,3.5669661531165563e-10
tost,103,2.951411835931703e-10
tost,104,2.442146793206293e-10
tost,105,2.0208060194430992e-10
tost,106,1.672199899489832e-10
tost,107,1.3837647474014217e-10
tost,108,1.1451085030393603e-10
tost,109,9.476350912389419e-11
tost,110,4.579815437475774e-10
serial_interval,1,0.0057758888570028895
serial_interval,2,0.013618286411034682
serial_interval,3,0.022662082841940236
serial_interval,4,0.031000319918618804
serial_interval,5,0.038021197817885946
serial_interval,6,0.04350298283277468
serial_interval,7,0.04743935106157682
serial_interval,8,0.049941312222840574
serial_interval,9,0.051178610916101555
serial_interval,10,0.05134406961913659
serial_interval,11,0.050632088289539495
serial_interval,12,0.049226142364051456
serial_interval,13,0.04729206420927101
serial_interval,14,0.04497503116696454
serial_interval,15,0.04239889077307185
serial_interval,16,0.039666911395884
serial_interval,17,0.036863350556651006
serial_interval,18,0.03405543856790663
serial_interval,19,0.031295515184463
serial_interval,20,0.02862315282495833
serial_interval,21,0.026067165425304212
serial_interval,22,0.02364744643301466
serial_interval,23,0.02137660921977675
serial_interval,24,0.01926142271072038
serial_interval,25,0.017304047413334696
serial_interval,26,0.015503084473871482
serial_interval,27,0.013854454451079207
serial_interval,28,0.012352124279725386
serial_interval,29,0.010988701180035362
serial_interval,30,0.009755911603035875
serial_interval,31,0.008644982068969095
serial_interval,32,0.007646937220415824
serial_interval,33,0.006752828752159877
serial_interval,34,0.005953907213874753
serial_interval,35,0.00524174708400536
serial_interval,36,0.004608334028056519
serial_interval,37,0.004046121905225276
serial_interval,38,0.0035480658830237227
serial_interval,39,0.003107636959918495
serial_interval,40,0.002718822274774798
serial_interval,41,0.002376114789204035
serial_interval,42,0.0020744952530832228
serial_interval,43,0.0018094087921426073
serial_interval,44,0.001576737977261964
serial_interval,45,0.0013727738361749451
serial_interval,46,0.0011941859386848208
serial_interval,47,0.0010379924162583964
serial_interval,48,0.0009015305570442779
serial_interval,49,0.0007824284400514892
serial_interval,50,0.0006785779305127915
serial_interval,51,0.000588109246356915
serial_interval,52,0.0005093672180822757
serial_interval,53,0.00044088929677585994
serial_interval,54,0.0003813853138404515
serial_interval,55,0.0003297189580553071
serial_interval,56,0.0002848909082851759
serial_interval,57,0.00024602354129624356
serial_interval,58,0.0002123471219383617
serial_interval,59,0.00018318737593461617
serial_interval,60,0.0001579543424766855
serial_interval,61,0.00013613240378008716
serial_interval,62,0.00011727139092011226
serial_interval,63,0.00010097866901805642
serial_interval,64,8.691210968006821e-05
serial_interval,65,7.47738641169366e-05
serial_interval,66,6.430485628971326e-05
serial_interval,67,5.527992150200083e-05
serial_interval,68,4.750352192151834e-05
serial_interval,69,4.0805976433977686e-05
serial_interval,70,3.504014792099654e-05
serial_interval,71,3.0078536449433424e-05
serial_interval,72,2.581073192354911e-05
serial_interval,73,2.2141184462679713e-05
serial_interval,74,1.898725511786501e-05
serial_interval,75,1.6277513533262728e-05
serial_interval,76,1.395025280158086e-05
serial_interval,77,1.1952195071661515e-05
serial_interval,78,1.023736445864875e-05
