method,day,divergences,max_r_hat,min_ess_bulk,seconds,n_sampled_variables
refit_daily,1,0,1.000451832607459,6645.218454937372,7.377608642913401,3
refit_daily,2,0,1.0004305597409928,8438.751387052931,7.450498468708247,3
refit_daily,3,0,1.0002682679244088,8382.145805226235,7.77587809599936,3
refit_daily,4,0,1.001013613462331,7346.164514335326,7.756974850781262,3
refit_daily,5,0,1.000706812352814,8131.1900609859085,7.823177631944418,3
refit_daily,6,0,1.000716423539138,7047.438708997441,7.895368825178593,3
refit_daily,7,0,1.0009724156155242,6400.304280497867,8.202523491345346,3
refit_daily,8,0,1.0006112584238875,6585.363715176493,6.4567606667988,3
refit_daily,9,0,1.0006094266260157,6714.858375293269,6.206239074934274,3
refit_daily,10,0,1.0006586140455638,6836.0893561609055,6.333966542966664,3
refit_daily,11,0,1.0013945790723526,7282.292219328913,6.424483870156109,3
refit_daily,12,0,1.0006124184839122,7259.22560921114,6.353024783544242,3
refit_daily,13,0,1.000217841124625,7239.0160976563375,6.483648830093443,3
refit_daily,14,0,1.0004592686883542,7182.519775611392,6.703016058076173,3
refit_daily,15,0,1.000374805265675,7805.179170582492,6.466103821061552,3
refit_daily,16,0,1.0005095764994298,6349.800126971799,6.488216863013804,3
refit_daily,17,0,1.001117141292264,7165.724056687056,6.582670114934444,3
refit_daily,18,0,1.00038374192253,8309.790842305678,6.498060750309378,3
refit_daily,19,0,1.0005415387928396,7330.149242779251,6.6103889578953385,3
refit_daily,20,0,1.000528991402068,7461.051226122777,6.72386824991554,3
refit_daily,21,0,1.0006298575203447,7602.14903111486,8.590720037929714,3
refit_daily,22,0,1.0005909674773688,7576.807954610305,6.71934078168124,3
refit_daily,23,0,1.0001039107132694,7092.471981374749,7.06094494368881,3
refit_daily,24,0,1.0012996117123416,7274.88086916361,7.261041034013033,3
refit_daily,25,0,1.0014371007169716,7913.618808007672,7.136708777863532,3
refit_daily,26,0,1.0009782537260903,7786.769618318765,7.122782340273261,3
refit_daily,27,0,1.0016227818200931,7848.866403405247,6.885915083810687,3
refit_daily,28,0,1.0001173719751884,6666.801217094424,6.981560957152396,3
refit_daily,29,0,1.0012023205807348,7816.392022111843,7.162828105967492,3
refit_daily,30,0,1.0002588088273732,7424.554944460601,6.978439101018012,3
refit_daily,31,0,1.000501991464881,7348.432987668142,7.347115629352629,3
refit_daily,32,0,1.0009273574398914,6713.594649904805,7.4101690840907395,3
refit_daily,33,0,1.0000692203709782,7284.0917720542775,7.5752092292532325,3
refit_daily,34,0,1.0002348460350818,6389.650254068875,7.705155496951193,3
refit_daily,35,0,1.0010050896659648,7425.614107160488,7.788088093046099,3
refit_daily,36,0,1.000762184365167,7106.832914358681,7.774030752014369,3
refit_daily,37,0,1.000488385788398,7132.631161012438,7.992822164669633,3
refit_daily,38,0,1.0005357709881888,7292.400986971851,8.02208214905113,3
refit_daily,39,0,1.0007672218670849,7146.918068793567,7.955408785957843,3
refit_daily,40,0,1.0018529609821867,7418.880491127965,7.958322775084525,3
refit_daily,41,0,1.0005821363339669,7595.701287762896,8.005553973373026,3
refit_daily,42,0,1.0007264563248521,6689.806026434409,8.052183279301971,3
refit_daily,43,0,1.0008285786486104,7443.846570657868,8.326019315980375,3
refit_daily,44,0,1.0003777144326278,6908.7108305198335,8.367381818126887,3
refit_daily,45,0,1.0007228289493966,6575.468802798727,8.921188150998205,3
refit_daily,46,0,1.0009078576194694,6245.401563085167,8.420592159964144,3
refit_daily,47,0,1.0004066366546898,7060.949113589391,8.436794036999345,3
refit_daily,48,0,1.0016510689102143,6782.1733527284805,8.173540099989623,3
refit_daily,49,0,1.0003943555483248,6631.713778618043,8.456788424868137,3
refit_daily,50,0,1.000860107660915,7021.677082812331,8.156364705879241,3
refit_daily,51,0,1.0002864059298657,6807.154299799545,8.252924792934209,3
refit_daily,52,0,1.0015024280323297,7871.246694907798,8.176327653694898,3
refit_daily,53,0,1.0001522986096818,7045.256687219679,8.901181360706687,3
refit_daily,54,0,1.000701633745361,6358.634311590639,8.337341035250574,3
refit_daily,55,0,1.0004309177919601,7256.723199610225,8.36735651222989,3
refit_daily,56,0,1.000623781360204,6660.145031132815,8.661786023993045,3
refit_daily,57,0,1.0004049053944126,6823.9578582281265,8.713214866816998,3
refit_daily,58,0,1.0007760944562025,7329.296956247832,8.854620818048716,3
refit_daily,59,0,1.0008160730848323,6184.76287484059,8.915372204966843,3
refit_daily,60,0,1.000306955082637,8099.625128099347,8.911694853100926,3
refit_daily,61,0,1.0004646751746071,6658.644446275355,9.253243442159146,3
refit_daily,62,0,1.0003210609191897,7188.667038349098,9.420089579187334,3
refit_daily,63,0,1.00228062335249,5957.529291261981,9.389109716750681,3
refit_daily,64,0,1.0001839421567618,6892.645397209631,8.798957714810967,3
refit_daily,65,0,1.0007848123616732,6619.7792674830935,9.237340420950204,3
refit_daily,66,0,1.0003464707515384,7456.782343756191,9.031442411243916,3
refit_daily,67,0,1.000771851113307,7054.768080687627,8.967523388098925,3
refit_daily,68,0,1.0002888605568228,7267.92588425683,9.423155819997191,3
refit_daily,69,0,1.0004653032201956,7274.624941768525,8.807827830780298,3
refit_daily,70,0,1.0007835310971398,7073.4194747371785,8.910019953735173,3
refit_daily,71,0,1.0007520398559029,7538.397866985438,9.254990861285478,3
refit_daily,72,0,1.0010606028176527,5985.036566862059,9.08633184619248,3
refit_daily,73,0,0.9999887342165593,7052.533709744529,8.968561973888427,3
refit_daily,74,0,1.0005778172116548,7036.5380285645715,9.52967912890017,3
refit_daily,75,0,1.0006749792187908,5824.2273199909805,9.494881317019463,3
refit_daily,76,0,1.0013208722431113,7091.218000183446,10.067957999184728,3
refit_daily,77,0,1.0008849489385578,7220.801354440787,9.471376162022352,3
refit_daily,78,0,1.0009272068428747,7541.464413973924,9.635285410098732,3
refit_daily,79,0,1.000338990831499,7104.688881683723,9.673300235997885,3
refit_daily,80,0,1.0005383472275275,6892.826287856979,9.230369525030255,3
refit_daily,81,0,1.0006378653614454,7635.796463939642,9.530519211664796,3
refit_daily,82,0,1.0005955258813326,6544.348577431514,9.290714586153626,3
refit_daily,83,0,1.000298191577389,6738.3309459754755,9.825876906979829,3
refit_daily,84,0,1.0007233954019252,7055.558048783507,9.89248673710972,3
refit_daily,85,0,1.0005849148374584,7216.199496128281,10.004273770842701,3
refit_daily,86,0,1.0009365683438416,7133.040642008497,10.086278507951647,3
refit_daily,87,0,1.000647235995558,6941.711183659809,9.876185783185065,3
refit_daily,88,0,1.0012474157984852,7569.78949607384,9.558182897977531,3
refit_daily,89,0,1.0002498226124164,7058.501060554855,10.031552468426526,3
refit_daily,90,0,1.0001727557195839,7736.80482003467,10.091976401861757,3
refit_daily,91,0,1.0001056144463993,8358.564325036283,9.617417807225138,3
refit_daily,92,0,1.0014624830991117,6618.572342317302,10.68589359195903,3
