method,day,divergences,max_r_hat,min_ess_bulk,seconds
refit_daily,33,0,1.0015550979207537,3854.744677946943,445.58431915100664
refit_daily,34,0,1.0018958296038902,3426.438035330696,468.73028246313334
refit_daily,35,0,1.0021516679081308,3790.314008330289,396.44015083182603
refit_daily,36,0,1.0022334247476081,3420.4846842824804,578.8864156799391
refit_daily,37,0,1.0029965862049688,3720.346113664113,495.80260916240513
refit_daily,38,0,1.001773740334981,3766.7060526745013,581.749093987979
refit_daily,39,0,1.0019280449516574,3648.7518178768814,586.9097636919469
refit_daily,40,0,1.0022988241933979,3915.223087634502,574.0628453111276
refit_daily,41,0,1.0023599141089177,3629.796773452055,425.4870595471002
refit_daily,42,0,1.0020835177863447,3531.3671829800205,435.2776536429301
refit_daily,43,0,1.0022038681205316,3676.976295659981,454.2511378759518
refit_daily,44,0,1.0020388477189959,3270.788861831353,465.1220357203856
refit_daily,45,0,1.0021092610156714,3835.019733625427,480.9940978740342
refit_daily,46,0,1.0019251976373817,3822.9441714115346,497.19759256998077
refit_daily,47,0,1.0019713067017322,3618.661904030284,509.7056025560014
refit_daily,48,0,1.001973436019635,3752.0379944545994,525.5292375171557
refit_daily,49,0,1.0021539768523569,3550.1646342916765,527.5094310506247
refit_daily,50,0,1.001678601738522,3709.689306107977,535.0466309040785
refit_daily,51,0,1.001894276833291,3705.4694556655845,546.5442727068439
refit_daily,52,0,1.0020533517977441,3751.0906276076394,554.7626156699844
refit_daily,53,0,1.002312905250634,2905.99387263276,576.967597651761
refit_daily,54,0,1.0017047521290945,3649.5750561802174,582.3559191781096
refit_daily,55,0,1.002394844403462,3799.941916864391,597.5991801968776
refit_daily,56,0,1.0019115720310492,3682.612424688945,595.9429852538742
refit_daily,57,0,1.0024360656478646,3599.2138182792405,609.6077175932005
refit_daily,58,0,1.0028537786415503,3530.201150689767,633.4224585308693
refit_daily,59,0,1.0023531431862949,3119.546591164995,644.2748771626502
refit_daily,60,0,1.0021280691309347,3651.8580961675625,650.7289380207658
refit_daily,61,0,1.0030865230444916,3640.0686626494585,670.7207815581933
refit_daily,62,0,1.003208648300609,3700.875353128151,668.8197438460775
refit_daily,63,0,1.002665249582473,3666.7312767914455,675.5492733172141
refit_daily,64,0,1.0017871235488005,3558.0312805380913,680.8544264691882
refit_daily,65,0,1.0020043668755887,3055.0919086107347,694.9384136982262
refit_daily,66,0,1.002563525763635,3651.2147737646237,702.6466191350482
refit_daily,67,0,1.0024706480185317,3714.4171494863754,712.2908711018972
refit_daily,68,0,1.0016389142651192,3750.317974886199,720.30266737286
refit_daily,69,0,1.003407684300694,3295.370281475956,749.1942143570632
refit_daily,70,0,1.0023766769456965,3336.067685966835,743.8253768701106
refit_daily,71,0,1.0019998263502166,3242.6318222294426,751.1611233078875
refit_daily,72,0,1.0020754267386411,3458.506912059247,757.748144948855
refit_daily,73,0,1.0022107206142343,3232.1030293891977,768.2527225799859
refit_daily,74,0,1.0022492307727568,3388.6928207225787,793.1152641540393
refit_daily,75,0,1.00294684171042,3590.7569524264804,800.4454106590711
refit_daily,76,0,1.0025420100960205,3371.986786008891,812.3909999169409
refit_daily,77,0,1.0025007765851575,3418.690338015931,816.495925960131
refit_daily,78,0,1.0018896920962232,3588.968054964691,833.8563750470057
refit_daily,79,0,1.0020955557707667,3633.0877778940812,855.9826846802607
refit_daily,80,0,1.0027227093142106,2864.656053720527,852.4558401098475
refit_daily,81,0,1.0029834264039925,3644.313592981464,863.429158794228
refit_daily,82,0,1.0018810849551363,3598.1163083439333,871.5693653109483
refit_daily,83,0,1.0021937458673227,2612.601468623835,880.1239856989123
refit_daily,84,0,1.0029626913308032,3408.1208631365726,896.9799604299478
refit_daily,85,0,1.0021441431788374,3544.311338204992,915.1429022019729
refit_daily,86,0,1.0032658229060212,3242.3290392517047,919.1566330799833
refit_daily,87,0,1.0029843213552503,3536.3840991745833,937.2456262400374
refit_daily,88,0,1.0020687436139384,2720.576169700591,949.2506839181297
refit_daily,89,0,1.0027834148565191,3380.251953702406,955.6222909502685
refit_daily,90,0,1.0022095067344257,3386.492681484963,971.1305345511064
refit_daily,91,0,1.0029365248844777,3313.8819630844396,993.569288619794
refit_daily,92,0,1.0037722461286605,3346.59053710955,987.6674125213176
refit_daily,93,0,1.0026814745869177,3110.9833222683374,1023.8625137931667
refit_daily,94,0,1.0022093943581598,3411.6390115119884,1023.0655540809967
refit_daily,95,0,1.0020183661765258,3361.4947111510933,1049.8603400737047
refit_daily,96,0,1.0028571563192994,2699.723388589491,1048.624485827051
refit_daily,97,0,1.0025900505689729,2181.208429903614,1073.348731729202
refit_daily,98,0,1.0022917551764723,2102.2188871981375,1070.0100485621952
refit_daily,99,0,1.0026243650286544,2415.4648677883765,1082.2602591067553
refit_daily,100,0,1.0021378026200944,2222.315618239748,1099.9528508931398
refit_daily,101,0,1.0025285521708314,2389.8591057707945,1135.954512428958
refit_daily,102,0,1.002013514302794,2280.8887448104956,1130.5086248009466
refit_daily,103,0,1.0033632499932121,2659.5617341296133,1153.3286535316147
refit_daily,104,0,1.0022654148002588,2437.9459621818087,1150.438050200697
refit_daily,105,0,1.0023316267689864,2265.1254611511963,1169.3247826872393
refit_daily,106,0,1.0028204320525578,3238.1083516118724,1212.477061855141
refit_daily,107,0,1.0022307302079316,3091.2527707347936,1191.2577021112666
refit_daily,108,0,1.0024162571381976,1435.5322978948966,1224.0296444706619
refit_daily,109,0,1.0028881833232939,1334.0148959101393,1217.809029283002
refit_daily,110,0,1.0020335190836007,2692.872207248288,0.5264235329814255
